,year,month,day,price,built_yr,apt_name,dong_name,size
0,2025,1,31,"149,900",2024,엘루크방배서리풀,서울특별시 서초구 방배동,48.16
1,2025,1,31,"354,000",1979,신반포4,서울특별시 서초구 잠원동,100.11
2,2025,1,31,"191,000",1994,엠브이아파트,서울특별시 서초구 반포동,129.93
3,2025,1,30,"172,000",1989,아남,서울특별시 서초구 서초동,84.96
4,2025,1,27,"384,000",2009,반포자이,서울특별시 서초구 반포동,84.982
5,2025,1,26,"360,000",1979,신반포4,서울특별시 서초구 잠원동,100.11
6,2025,1,26,"500,000",2016,아크로리버파크,서울특별시 서초구 반포동,84.99
7,2025,1,25,"233,000",2003,서초래미안,서울특별시 서초구 서초동,96.87
8,2025,1,25,"369,000",1979,신반포4,서울특별시 서초구 잠원동,100.11
9,2025,1,25,"130,000",2012,서초힐스,서울특별시 서초구 우면동,59.91
10,2025,1,25,"141,500",2006,디오수페리움2,서울특별시 서초구 방배동,84.94
11,2025,1,25,"255,000",2013,롯데캐슬아르떼,서울특별시 서초구 방배동,84.9145
12,2025,1,25,"285,000",2018,방배아트자이,서울특별시 서초구 방배동,126.6226
13,2025,1,25,"184,000",2005,브라운스톤방배,서울특별시 서초구 방배동,84.96
14,2025,1,25,"187,000",2001,서초삼성래미안,서울특별시 서초구 서초동,84.97
15,2025,1,25,"415,000",2009,반포자이,서울특별시 서초구 반포동,84.943
16,2025,1,25,"176,000",2002,대주피오레아파트,서울특별시 서초구 잠원동,125.48
17,2025,1,25,"271,000",1992,한신,서울특별시 서초구 잠원동,84.52
18,2025,1,25,"315,000",2012,반포힐스테이트,서울특별시 서초구 반포동,59.7
19,2025,1,25,"262,000",2020,래미안 리더스원,서울특별시 서초구 서초동,59.96
20,2025,1,25,"153,000",2015,서초포레스타2단지,서울특별시 서초구 내곡동,84.48
21,2025,1,24,"390,000",2020,래미안 리더스원,서울특별시 서초구 서초동,114.94
22,2025,1,24,"350,000",2015,르가든6차,서울특별시 서초구 방배동,165.84
23,2025,1,24,"331,500",2018,반포써밋,서울특별시 서초구 반포동,84.4182
24,2025,1,24,"355,000",1984,궁전,서울특별시 서초구 반포동,205.22
25,2025,1,24,"355,000",2016,래미안신반포팰리스,서울특별시 서초구 잠원동,84.49
26,2025,1,24,"387,000",1979,신반포4,서울특별시 서초구 잠원동,105.89
27,2025,1,24,"42,000",2003,서초이오빌,서울특별시 서초구 서초동,45.96
28,2025,1,23,"450,000",2018,반포래미안아이파크,서울특별시 서초구 반포동,112.95
29,2025,1,23,"400,000",2009,반포자이,서울특별시 서초구 반포동,84.943
30,2025,1,23,"275,000",2002,동아,서울특별시 서초구 잠원동,84.91
31,2025,1,23,"228,000",1998,신반포청구,서울특별시 서초구 잠원동,59.91
32,2025,1,23,"131,000",2003,반포대우멤버스카운티,서울특별시 서초구 반포동,98.67
33,2025,1,22,"215,000",2009,래미안서초스위트,서울특별시 서초구 서초동,59.9958
34,2025,1,22,"279,000",2017,서초푸르지오써밋,서울특별시 서초구 서초동,74.96
35,2025,1,22,"173,000",2020,서초센트럴IPARK,서울특별시 서초구 서초동,80.5154
36,2025,1,22,"204,000",2005,방배래미안타워,서울특별시 서초구 방배동,134.36
37,2025,1,22,"339,500",2009,래미안퍼스티지,서울특별시 서초구 반포동,59.96
38,2025,1,22,"39,500",2003,서초이오빌,서울특별시 서초구 서초동,45.96
39,2025,1,22,"393,000",2009,반포자이,서울특별시 서초구 반포동,84.943
40,2025,1,22,"160,000",2002,대주피오레아파트,서울특별시 서초구 잠원동,126.69
41,2025,1,22,"63,000",2006,더샵서초,서울특별시 서초구 서초동,33.06
42,2025,1,21,"32,400",2003,서초이오빌,서울특별시 서초구 서초동,36.66
43,2025,1,21,"400,000",2009,반포자이,서울특별시 서초구 반포동,84.943
44,2025,1,21,"407,000",2018,아크로리버뷰신반포,서울특별시 서초구 잠원동,84.79
45,2025,1,21,"200,000",1989,한신타운,서울특별시 서초구 잠원동,63.94
46,2025,1,21,"295,000",2021,방배그랑자이,서울특별시 서초구 방배동,84.9712
47,2025,1,21,"125,000",2021,방배중앙센트레빌,서울특별시 서초구 방배동,59.873
48,2025,1,21,"440,000",2018,반포래미안아이파크,서울특별시 서초구 반포동,112.95
49,2025,1,20,"150,000",2011,서초네이처힐4단지,서울특별시 서초구 우면동,84.61
50,2025,1,20,"383,000",1979,신반포4,서울특별시 서초구 잠원동,105.44
51,2025,1,20,"385,000",2016,래미안신반포팰리스,서울특별시 서초구 잠원동,104.04
52,2025,1,20,"252,000",2000,반포푸르지오,서울특별시 서초구 반포동,84.82
53,2025,1,20,"329,000",2017,서초푸르지오써밋,서울특별시 서초구 서초동,104.11
54,2025,1,18,"303,000",1989,한강,서울특별시 서초구 잠원동,84.53
55,2025,1,18,"180,000",1997,잠원현대훼밀리,서울특별시 서초구 잠원동,59.56
56,2025,1,18,"435,000",1979,신반포4,서울특별시 서초구 잠원동,137.1
57,2025,1,18,"173,000",2005,서초동롯데캐슬리버티,서울특별시 서초구 서초동,84.99
58,2025,1,18,"280,000",1988,삼풍아파트,서울특별시 서초구 서초동,79.47
59,2025,1,18,"240,000",2006,롯데캐슬클래식,서울특별시 서초구 서초동,84.98
60,2025,1,18,"248,000",2005,서초3차e편한세상,서울특별시 서초구 서초동,158.24
61,2025,1,18,"268,000",2002,동아,서울특별시 서초구 잠원동,84.91
62,2025,1,18,"380,000",2018,아크로리버뷰신반포,서울특별시 서초구 잠원동,84.79
63,2025,1,18,"140,000",2013,엘에이치서초4단지,서울특별시 서초구 우면동,84.95
64,2025,1,18,"189,500",2003,방배블레스밸리,서울특별시 서초구 방배동,128.4
65,2025,1,18,"408,000",2018,반포래미안아이파크,서울특별시 서초구 반포동,112.95
66,2025,1,18,"189,500",2003,방배블레스밸리,서울특별시 서초구 방배동,128.4
67,2025,1,18,"163,300",1999,방배1차현대홈타운,서울특별시 서초구 방배동,59.94
68,2025,1,18,"417,500",2009,래미안퍼스티지,서울특별시 서초구 반포동,84.93
69,2025,1,18,"205,000",2018,방배아트자이,서울특별시 서초구 방배동,59.9775
70,2025,1,17,"273,000",2002,동아,서울특별시 서초구 잠원동,84.91
71,2025,1,17,"228,000",1999,방배1차현대홈타운,서울특별시 서초구 방배동,84.96
72,2025,1,17,"288,000",2004,롯데캐슬갤럭시(50-1),서울특별시 서초구 잠원동,132.78
73,2025,1,17,"378,000",1979,신반포4,서울특별시 서초구 잠원동,105.44
74,2025,1,17,"217,000",1993,현대,서울특별시 서초구 잠원동,84.87
75,2025,1,17,"37,000",2003,래미안서초유니빌,서울특별시 서초구 서초동,36.838
76,2025,1,17,"39,500",2019,DK밸리뷰시티,서울특별시 서초구 서초동,26.59
77,2025,1,17,"103,000",2013,서초포레스타7단지,서울특별시 서초구 신원동,59.81
78,2025,1,17,"232,000",1989,반포미도2차아파트,서울특별시 서초구 반포동,71.49
79,2025,1,17,"670,000",2023,래미안원베일리,서울특별시 서초구 반포동,116.95
80,2025,1,17,"385,000",2009,반포자이,서울특별시 서초구 반포동,84.943
81,2025,1,16,"410,000",2009,반포자이,서울특별시 서초구 반포동,84.943
82,2025,1,16,"154,000",2003,삼성래미안1,서울특별시 서초구 방배동,84.91
83,2025,1,16,"400,000",2009,반포자이,서울특별시 서초구 반포동,84.998
84,2025,1,16,"180,000",2008,방배어울림,서울특별시 서초구 방배동,122.785
85,2025,1,16,"347,500",2016,래미안신반포팰리스,서울특별시 서초구 잠원동,84.42
86,2025,1,16,"280,000",1998,신반포청구,서울특별시 서초구 잠원동,84.86
87,2025,1,16,"30,500",2002,서초동삼성쉐르빌2,서울특별시 서초구 서초동,35.22
88,2025,1,15,"325,000",2018,반포써밋,서울특별시 서초구 반포동,84.4182
89,2025,1,14,"135,000",2013,엘에이치서초4단지,서울특별시 서초구 우면동,84.99
90,2025,1,14,"287,000",2016,래미안서초에스티지,서울특별시 서초구 서초동,83.6
91,2025,1,14,"147,500",2023,서초아트래디앙,서울특별시 서초구 서초동,56.92
92,2025,1,14,"150,500",2012,서초힐스,서울특별시 서초구 우면동,84.96
93,2025,1,14,"255,000",2003,서초래미안,서울특별시 서초구 서초동,111.32
94,2025,1,13,"398,000",1988,삼풍아파트,서울특별시 서초구 서초동,163.81
95,2025,1,13,"288,500",2003,서초래미안,서울특별시 서초구 서초동,126.31
96,2025,1,13,"392,000",2010,반포리체,서울특별시 서초구 반포동,106.148
97,2025,1,13,"338,000",2016,래미안신반포팰리스,서울특별시 서초구 잠원동,84.49
98,2025,1,13,"288,500",2003,서초래미안,서울특별시 서초구 서초동,126.31
99,2025,1,13,"690,000",2023,래미안원베일리,서울특별시 서초구 반포동,116.95
100,2025,1,11,"382,000",1978,신반포2,서울특별시 서초구 잠원동,92.2
101,2025,1,11,"285,000",2005,서초프레스턴,서울특별시 서초구 서초동,244.42
102,2025,1,11,"550,000",2023,래미안원베일리,서울특별시 서초구 반포동,84.98
103,2025,1,11,"205,000",2005,서초트라팰리스,서울특별시 서초구 서초동,125.41
104,2025,1,11,"164,000",1999,방배1차현대홈타운,서울특별시 서초구 방배동,59.94
105,2025,1,11,"480,000",2016,아크로리버파크,서울특별시 서초구 반포동,84.95
106,2025,1,11,"292,000",2018,래미안서초에스티지S,서울특별시 서초구 서초동,84.17
107,2025,1,11,"292,000",2018,래미안서초에스티지S,서울특별시 서초구 서초동,84.17
108,2025,1,11,"263,000",1992,한신,서울특별시 서초구 잠원동,84.52
109,2025,1,10,"140,000",2014,서초포레스타5단지,서울특별시 서초구 신원동,59.93
110,2025,1,10,"144,000",2012,서초힐스,서울특별시 서초구 우면동,74.97
111,2025,1,10,"210,000",1993,현대,서울특별시 서초구 잠원동,84.87
112,2025,1,10,"700,000",2009,래미안퍼스티지,서울특별시 서초구 반포동,198.04
113,2025,1,10,"179,500",1989,현대아파트,서울특별시 서초구 서초동,84.34
114,2025,1,10,"258,000",2021,서초그랑자이,서울특별시 서초구 서초동,59.98
115,2025,1,9,"142,000",1988,방배임광3차,서울특별시 서초구 방배동,67.47
116,2025,1,9,"325,000",1979,진흥아파트,서울특별시 서초구 서초동,160.46
117,2025,1,9,"250,000",2000,반포푸르지오,서울특별시 서초구 반포동,84.82
118,2025,1,9,"455,000",2016,아크로리버파크,서울특별시 서초구 반포동,84.95
119,2025,1,8,"153,000",2013,서초네이처힐3단지,서울특별시 서초구 우면동,84.84
120,2025,1,8,"417,000",2021,서초그랑자이,서울특별시 서초구 서초동,119.41
121,2025,1,8,"327,000",2019,래미안신반포리오센트,서울특별시 서초구 잠원동,84.92
122,2025,1,7,"149,900",2024,엘루크방배서리풀,서울특별시 서초구 방배동,47.99
123,2025,1,7,"149,500",1999,방배1차현대홈타운,서울특별시 서초구 방배동,59.94
124,2025,1,7,"167,000",1999,방배1차현대홈타운,서울특별시 서초구 방배동,59.94
125,2025,1,7,"204,000",1993,유원서초,서울특별시 서초구 서초동,84.82
126,2025,1,7,"140,000",1994,엠브이아파트,서울특별시 서초구 반포동,59.82
127,2025,1,7,"41,000",2003,성진준빌라트,서울특별시 서초구 잠원동,56.72
128,2025,1,7,"146,000",1991,우성,서울특별시 서초구 양재동,73.15
129,2025,1,6,"379,000",1988,삼풍아파트,서울특별시 서초구 서초동,165.92
130,2025,1,6,"300,000",1987,반포미도,서울특별시 서초구 반포동,84.96
131,2025,1,6,"183,000",1987,한신서래,서울특별시 서초구 반포동,64.53
